"","short","long","gold","silver","bronze","total","long2","yr"
"726","NZL","New Zealand","3","2","-","5","New Zealand","athens-2004"
"727","THA","Thailand","3","1","4","8","Thailand","athens-2004"
"728","BLR","Belarus","2","5","6","13","Belarus","athens-2004"
"729","AUT","Austria","2","4","1","7","Austria","athens-2004"
"730","ETH","Ethiopia","2","3","2","7","Ethiopia","athens-2004"
"731","IRI","Islamic Republic of Iran","2","2","2","6","Islamic Republic of Iran","athens-2004"
"732","SVK","Slovakia","2","2","2","6","Slovakia","athens-2004"
"733","TPE","Chinese Taipei","2","2","1","5","Chinese Taipei","athens-2004"
"734","GEO","Georgia","2","2","-","4","Georgia","athens-2004"
"735","BUL","Bulgaria","2","1","9","12","Bulgaria","athens-2004"
"736","DEN","Denmark","2","1","5","8","Denmark","athens-2004"
"737","JAM","Jamaica","2","1","2","5","Jamaica","athens-2004"
"738","UZB","Uzbekistan","2","1","2","5","Uzbekistan","athens-2004"
"739","MAR","Morocco","2","1","-","3","Morocco","athens-2004"
"740","ARG","Argentina","2","-","4","6","Argentina","athens-2004"
"741","CHI","Chile","2","-","1","3","Chile","athens-2004"
"742","KAZ","Kazakhstan","1","4","3","8","Kazakhstan","athens-2004"
"743","KEN","Kenya","1","4","2","7","Kenya","athens-2004"
"744","CZE","Czech Republic","1","3","5","9","Czech Republic","athens-2004"
"745","RSA","South Africa","1","3","2","6","South Africa","athens-2004"
"746","CRO","Croatia","1","2","2","5","Croatia","athens-2004"
"747","LTU","Lithuania","1","2","-","3","Lithuania","athens-2004"
"748","SUI","Switzerland","1","1","3","5","Switzerland","athens-2004"
"749","EGY","Egypt","1","1","3","5","Egypt","athens-2004"
"750","INA","Indonesia","1","1","2","4","Indonesia","athens-2004"
"751","ZIM","Zimbabwe","1","1","1","3","Zimbabwe","athens-2004"
"752","AZE","Azerbaijan","1","-","4","5","Azerbaijan","athens-2004"
"753","BEL","Belgium","1","-","2","3","Belgium","athens-2004"
"754","ISR","Israel","1","-","1","2","Israel","athens-2004"
"755","BAH","Bahamas","1","-","1","2","Bahamas","athens-2004"
"756","CMR","Cameroon","1","-","-","1","Cameroon","athens-2004"
"757","DOM","Dominican Republic","1","-","-","1","Dominican Republic","athens-2004"
"758","UAE","United Arab Emirates","1","-","-","1","United Arab Emirates","athens-2004"
"759","PRK","Democratic People's Republic of Korea","-","4","1","5","Democratic People's Republic of Korea","athens-2004"
"760","LAT","Latvia","-","4","-","4","Latvia","athens-2004"
"761","MEX","Mexico","-","3","1","4","Mexico","athens-2004"
"762","POR","Portugal","-","2","1","3","Portugal","athens-2004"
"763","FIN","Finland","-","2","-","2","Finland","athens-2004"
"764","SCG","Serbia and Montenegro","-","2","-","2","Serbia and Montenegro","athens-2004"
"765","SLO","Slovenia","-","1","3","4","Slovenia","athens-2004"
"766","EST","Estonia","-","1","2","3","Estonia","athens-2004"
"767","IND","India","-","1","-","1","India","athens-2004"
"768","HKG","Hong Kong, China","-","1","-","1","Hong Kong, China","athens-2004"
"769","PAR","Paraguay","-","1","-","1","Paraguay","athens-2004"
"770","COL","Colombia","-","-","2","2","Colombia","athens-2004"
"771","VEN","Venezuela","-","-","2","2","Venezuela","athens-2004"
"772","NGR","Nigeria","-","-","2","2","Nigeria","athens-2004"
"773","ERI","Eritrea","-","-","1","1","Eritrea","athens-2004"
"774","MGL","Mongolia","-","-","1","1","Mongolia","athens-2004"
"775","TTO","Trinidad and Tobago","-","-","1","1","Trinidad and Tobago","athens-2004"
"776","SYR","Syrian Arab Republic","-","-","1","1","Syrian Arab Republic","athens-2004"
"777","USA","United States of America","36","39","26","101","United States of America","athens-2004"
"778","CHN","People's Republic of China","32","17","14","63","People's Republic of China","athens-2004"
"779","RUS","Russian Federation","28","26","36","90","Russian Federation","athens-2004"
"780","AUS","Australia","17","16","17","50","Australia","athens-2004"
"781","JPN","Japan","16","9","12","37","Japan","athens-2004"
"782","GER","Germany","13","16","20","49","Germany","athens-2004"
"783","FRA","France","11","9","13","33","France","athens-2004"
"784","ITA","Italy","10","11","11","32","Italy","athens-2004"
"785","KOR","Republic of Korea","9","12","9","30","Republic of Korea","athens-2004"
"786","GBR","Great Britain","9","9","12","30","Great Britain","athens-2004"
"787","CUB","Cuba","9","7","11","27","Cuba","athens-2004"
"788","HUN","Hungary","8","6","3","17","Hungary","athens-2004"
"789","UKR","Ukraine","8","5","9","22","Ukraine","athens-2004"
"790","ROU","Romania","8","5","6","19","Romania","athens-2004"
"791","GRE","Greece","6","6","4","16","Greece","athens-2004"
"792","BRA","Brazil","5","2","3","10","Brazil","athens-2004"
"793","NOR","Norway","5","-","1","6","Norway","athens-2004"
"794","NED","Netherlands","4","9","9","22","Netherlands","athens-2004"
"795","SWE","Sweden","4","2","1","7","Sweden","athens-2004"
"796","ESP","Spain","3","11","6","20","Spain","athens-2004"
"797","CAN","Canada","3","6","3","12","Canada","athens-2004"
"798","TUR","Turkey","3","3","4","10","Turkey","athens-2004"
"799","POL","Poland","3","2","5","10","Poland","athens-2004"
"800","NZL","New Zealand","3","2","-","5","New Zealand","athens-2004"
"801","THA","Thailand","3","1","4","8","Thailand","athens-2004"
"802","BLR","Belarus","2","5","6","13","Belarus","athens-2004"
"803","AUT","Austria","2","4","1","7","Austria","athens-2004"
"804","ETH","Ethiopia","2","3","2","7","Ethiopia","athens-2004"
"805","IRI","Islamic Republic of Iran","2","2","2","6","Islamic Republic of Iran","athens-2004"
"806","SVK","Slovakia","2","2","2","6","Slovakia","athens-2004"
"807","TPE","Chinese Taipei","2","2","1","5","Chinese Taipei","athens-2004"
"808","GEO","Georgia","2","2","-","4","Georgia","athens-2004"
"809","BUL","Bulgaria","2","1","9","12","Bulgaria","athens-2004"
"810","DEN","Denmark","2","1","5","8","Denmark","athens-2004"
"811","JAM","Jamaica","2","1","2","5","Jamaica","athens-2004"
"812","UZB","Uzbekistan","2","1","2","5","Uzbekistan","athens-2004"
"813","MAR","Morocco","2","1","-","3","Morocco","athens-2004"
"814","ARG","Argentina","2","-","4","6","Argentina","athens-2004"
"815","CHI","Chile","2","-","1","3","Chile","athens-2004"
"816","KAZ","Kazakhstan","1","4","3","8","Kazakhstan","athens-2004"
"817","KEN","Kenya","1","4","2","7","Kenya","athens-2004"
"818","CZE","Czech Republic","1","3","5","9","Czech Republic","athens-2004"
"819","RSA","South Africa","1","3","2","6","South Africa","athens-2004"
"820","CRO","Croatia","1","2","2","5","Croatia","athens-2004"
"821","LTU","Lithuania","1","2","-","3","Lithuania","athens-2004"
"822","SUI","Switzerland","1","1","3","5","Switzerland","athens-2004"
"823","EGY","Egypt","1","1","3","5","Egypt","athens-2004"
"824","INA","Indonesia","1","1","2","4","Indonesia","athens-2004"
"825","ZIM","Zimbabwe","1","1","1","3","Zimbabwe","athens-2004"
"826","AZE","Azerbaijan","1","-","4","5","Azerbaijan","athens-2004"
"827","BEL","Belgium","1","-","2","3","Belgium","athens-2004"
"828","ISR","Israel","1","-","1","2","Israel","athens-2004"
"829","BAH","Bahamas","1","-","1","2","Bahamas","athens-2004"
"830","CMR","Cameroon","1","-","-","1","Cameroon","athens-2004"
"831","DOM","Dominican Republic","1","-","-","1","Dominican Republic","athens-2004"
"832","UAE","United Arab Emirates","1","-","-","1","United Arab Emirates","athens-2004"
"833","PRK","Democratic People's Republic of Korea","-","4","1","5","Democratic People's Republic of Korea","athens-2004"
"834","LAT","Latvia","-","4","-","4","Latvia","athens-2004"
"835","MEX","Mexico","-","3","1","4","Mexico","athens-2004"
"836","POR","Portugal","-","2","1","3","Portugal","athens-2004"
"837","FIN","Finland","-","2","-","2","Finland","athens-2004"
"838","SCG","Serbia and Montenegro","-","2","-","2","Serbia and Montenegro","athens-2004"
"839","SLO","Slovenia","-","1","3","4","Slovenia","athens-2004"
"840","EST","Estonia","-","1","2","3","Estonia","athens-2004"
"841","IND","India","-","1","-","1","India","athens-2004"
"842","HKG","Hong Kong, China","-","1","-","1","Hong Kong, China","athens-2004"
"843","PAR","Paraguay","-","1","-","1","Paraguay","athens-2004"
"844","COL","Colombia","-","-","2","2","Colombia","athens-2004"
"845","VEN","Venezuela","-","-","2","2","Venezuela","athens-2004"
"846","NGR","Nigeria","-","-","2","2","Nigeria","athens-2004"
"847","ERI","Eritrea","-","-","1","1","Eritrea","athens-2004"
"848","MGL","Mongolia","-","-","1","1","Mongolia","athens-2004"
"849","TTO","Trinidad and Tobago","-","-","1","1","Trinidad and Tobago","athens-2004"
"850","SYR","Syrian Arab Republic","-","-","1","1","Syrian Arab Republic","athens-2004"
"851","NOR","Norway","13","5","7","25","Norway","salt-lake-city-2002"
"852","GER","Germany","12","16","8","36","Germany","salt-lake-city-2002"
"853","USA","United States of America","10","13","11","34","United States of America","salt-lake-city-2002"
"854","CAN","Canada","7","3","7","17","Canada","salt-lake-city-2002"
"855","RUS","Russian Federation","5","4","4","13","Russian Federation","salt-lake-city-2002"
"856","FRA","France","4","5","2","11","France","salt-lake-city-2002"
"857","ITA","Italy","4","4","5","13","Italy","salt-lake-city-2002"
"858","FIN","Finland","4","2","1","7","Finland","salt-lake-city-2002"
"859","NED","Netherlands","3","5","-","8","Netherlands","salt-lake-city-2002"
"860","AUT","Austria","3","4","10","17","Austria","salt-lake-city-2002"
"861","SUI","Switzerland","3","2","6","11","Switzerland","salt-lake-city-2002"
"862","CRO","Croatia","3","1","-","4","Croatia","salt-lake-city-2002"
"863","CHN","People's Republic of China","2","2","4","8","People's Republic of China","salt-lake-city-2002"
"864","KOR","Republic of Korea","2","2","-","4","Republic of Korea","salt-lake-city-2002"
"865","AUS","Australia","2","-","-","2","Australia","salt-lake-city-2002"
"866","CZE","Czech Republic","1","2","-","3","Czech Republic","salt-lake-city-2002"
"867","EST","Estonia","1","1","1","3","Estonia","salt-lake-city-2002"
"868","GBR","Great Britain","1","-","1","2","Great Britain","salt-lake-city-2002"
"869","SWE","Sweden","-","2","5","7","Sweden","salt-lake-city-2002"
"870","BUL","Bulgaria","-","1","2","3","Bulgaria","salt-lake-city-2002"
"871","JPN","Japan","-","1","1","2","Japan","salt-lake-city-2002"
"872","POL","Poland","-","1","1","2","Poland","salt-lake-city-2002"
"873","BLR","Belarus","-","-","1","1","Belarus","salt-lake-city-2002"
"874","SLO","Slovenia","-","-","1","1","Slovenia","salt-lake-city-2002"
"875","NOR","Norway","13","5","7","25","Norway","salt-lake-city-2002"
"876","GER","Germany","12","16","8","36","Germany","salt-lake-city-2002"
"877","USA","United States of America","10","13","11","34","United States of America","salt-lake-city-2002"
"878","CAN","Canada","7","3","7","17","Canada","salt-lake-city-2002"
"879","RUS","Russian Federation","5","4","4","13","Russian Federation","salt-lake-city-2002"
"880","FRA","France","4","5","2","11","France","salt-lake-city-2002"
"881","ITA","Italy","4","4","5","13","Italy","salt-lake-city-2002"
"882","FIN","Finland","4","2","1","7","Finland","salt-lake-city-2002"
"883","NED","Netherlands","3","5","-","8","Netherlands","salt-lake-city-2002"
"884","AUT","Austria","3","4","10","17","Austria","salt-lake-city-2002"
"885","SUI","Switzerland","3","2","6","11","Switzerland","salt-lake-city-2002"
"886","CRO","Croatia","3","1","-","4","Croatia","salt-lake-city-2002"
"887","CHN","People's Republic of China","2","2","4","8","People's Republic of China","salt-lake-city-2002"
"888","KOR","Republic of Korea","2","2","-","4","Republic of Korea","salt-lake-city-2002"
"889","AUS","Australia","2","-","-","2","Australia","salt-lake-city-2002"
"890","CZE","Czech Republic","1","2","-","3","Czech Republic","salt-lake-city-2002"
"891","EST","Estonia","1","1","1","3","Estonia","salt-lake-city-2002"
"892","GBR","Great Britain","1","-","1","2","Great Britain","salt-lake-city-2002"
"893","SWE","Sweden","-","2","5","7","Sweden","salt-lake-city-2002"
"894","BUL","Bulgaria","-","1","2","3","Bulgaria","salt-lake-city-2002"
"895","JPN","Japan","-","1","1","2","Japan","salt-lake-city-2002"
"896","POL","Poland","-","1","1","2","Poland","salt-lake-city-2002"
"897","BLR","Belarus","-","-","1","1","Belarus","salt-lake-city-2002"
"898","SLO","Slovenia","-","-","1","1","Slovenia","salt-lake-city-2002"
"899","USA","United States of America","37","24","32","93","United States of America","sydney-2000"
"900","RUS","Russian Federation","32","28","29","89","Russian Federation","sydney-2000"
"901","CHN","People's Republic of China","28","16","14","58","People's Republic of China","sydney-2000"
"902","AUS","Australia","16","25","17","58","Australia","sydney-2000"
"903","GER","Germany","13","17","26","56","Germany","sydney-2000"
"904","FRA","France","13","14","11","38","France","sydney-2000"
"905","ITA","Italy","13","8","13","34","Italy","sydney-2000"
"906","NED","Netherlands","12","9","4","25","Netherlands","sydney-2000"
"907","CUB","Cuba","11","11","7","29","Cuba","sydney-2000"
"908","GBR","Great Britain","11","10","7","28","Great Britain","sydney-2000"
"909","ROU","Romania","11","6","9","26","Romania","sydney-2000"
"910","KOR","Republic of Korea","8","10","10","28","Republic of Korea","sydney-2000"
"911","HUN","Hungary","8","6","3","17","Hungary","sydney-2000"
"912","POL","Poland","6","5","3","14","Poland","sydney-2000"
"913","JPN","Japan","5","8","5","18","Japan","sydney-2000"
"914","BUL","Bulgaria","5","6","2","13","Bulgaria","sydney-2000"
"915","GRE","Greece","4","6","3","13","Greece","sydney-2000"
"916","SWE","Sweden","4","5","3","12","Sweden","sydney-2000"
"917","NOR","Norway","4","3","3","10","Norway","sydney-2000"
"918","ETH","Ethiopia","4","1","3","8","Ethiopia","sydney-2000"
"919","UKR","Ukraine","3","10","10","23","Ukraine","sydney-2000"
"920","KAZ","Kazakhstan","3","4","-","7","Kazakhstan","sydney-2000"
"921","BLR","Belarus","3","3","11","17","Belarus","sydney-2000"
"922","CAN","Canada","3","3","8","14","Canada","sydney-2000"
"923","ESP","Spain","3","3","5","11","Spain","sydney-2000"
"924","TUR","Turkey","3","-","2","5","Turkey","sydney-2000"
"925","IRI","Islamic Republic of Iran","3","-","1","4","Islamic Republic of Iran","sydney-2000"
"926","CZE","Czech Republic","2","3","3","8","Czech Republic","sydney-2000"
"927","KEN","Kenya","2","3","2","7","Kenya","sydney-2000"
"928","DEN","Denmark","2","3","1","6","Denmark","sydney-2000"
"929","FIN","Finland","2","1","1","4","Finland","sydney-2000"
"930","AUT","Austria","2","1","-","3","Austria","sydney-2000"
"931","LTU","Lithuania","2","-","3","5","Lithuania","sydney-2000"
"932","AZE","Azerbaijan","2","-","1","3","Azerbaijan","sydney-2000"
"933","BAH","Bahamas","2","-","1","3","Bahamas","sydney-2000"
"934","SLO","Slovenia","2","-","-","2","Slovenia","sydney-2000"
"935","SUI","Switzerland","1","6","2","9","Switzerland","sydney-2000"
"936","INA","Indonesia","1","3","2","6","Indonesia","sydney-2000"
"937","SVK","Slovakia","1","3","1","5","Slovakia","sydney-2000"
"938","MEX","Mexico","1","2","3","6","Mexico","sydney-2000"
"939","NGR","Nigeria","1","2","-","3","Nigeria","sydney-2000"
"940","ALG","Algeria","1","1","3","5","Algeria","sydney-2000"
"941","UZB","Uzbekistan","1","1","2","4","Uzbekistan","sydney-2000"
"942","LAT","Latvia","1","1","1","3","Latvia","sydney-2000"
"943","SCG","Serbia and Montenegro","1","1","1","3","Serbia and Montenegro","sydney-2000"
"944","NZL","New Zealand","1","-","3","4","New Zealand","sydney-2000"
"945","EST","Estonia","1","-","2","3","Estonia","sydney-2000"
"946","THA","Thailand","1","-","2","3","Thailand","sydney-2000"
"947","CRO","Croatia","1","-","1","2","Croatia","sydney-2000"
"948","COL","Colombia","1","-","-","1","Colombia","sydney-2000"
"949","CMR","Cameroon","1","-","-","1","Cameroon","sydney-2000"
"950","MOZ","Mozambique","1","-","-","1","Mozambique","sydney-2000"
"951","BRA","Brazil","-","6","6","12","Brazil","sydney-2000"
"952","JAM","Jamaica","-","6","3","9","Jamaica","sydney-2000"
"953","BEL","Belgium","-","2","3","5","Belgium","sydney-2000"
"954","RSA","South Africa","-","2","3","5","South Africa","sydney-2000"
"955","ARG","Argentina","-","2","2","4","Argentina","sydney-2000"
"956","TPE","Chinese Taipei","-","1","4","5","Chinese Taipei","sydney-2000"
"957","MAR","Morocco","-","1","4","5","Morocco","sydney-2000"
"958","PRK","Democratic People's Republic of Korea","-","1","3","4","Democratic People's Republic of Korea","sydney-2000"
"959","KSA","Saudi Arabia","-","1","1","2","Saudi Arabia","sydney-2000"
"960","MDA","Republic of Moldova","-","1","1","2","Republic of Moldova","sydney-2000"
"961","TTO","Trinidad and Tobago","-","1","1","2","Trinidad and Tobago","sydney-2000"
"962","IRL","Ireland","-","1","-","1","Ireland","sydney-2000"
"963","SRI","Sri Lanka","-","1","-","1","Sri Lanka","sydney-2000"
"964","URU","Uruguay","-","1","-","1","Uruguay","sydney-2000"
"965","VIE","Vietnam","-","1","-","1","Vietnam","sydney-2000"
"966","GEO","Georgia","-","-","6","6","Georgia","sydney-2000"
"967","POR","Portugal","-","-","2","2","Portugal","sydney-2000"
"968","CRC","Costa Rica","-","-","2","2","Costa Rica","sydney-2000"
"969","CHI","Chile","-","-","1","1","Chile","sydney-2000"
"970","ISL","Iceland","-","-","1","1","Iceland","sydney-2000"
"971","IND","India","-","-","1","1","India","sydney-2000"
"972","ISR","Israel","-","-","1","1","Israel","sydney-2000"
"973","KUW","Kuwait","-","-","1","1","Kuwait","sydney-2000"
"974","ARM","Armenia","-","-","1","1","Armenia","sydney-2000"
"975","BAR","Barbados","-","-","1","1","Barbados","sydney-2000"
"976","KGZ","Kyrgyzstan","-","-","1","1","Kyrgyzstan","sydney-2000"
"977","QAT","Qatar","-","-","1","1","Qatar","sydney-2000"
"978","MKD","The Former Yugoslav Republic of Macedonia","-","-","1","1","The Former Yugoslav Republic of Macedonia","sydney-2000"
"979","USA","United States of America","37","24","32","93","United States of America","sydney-2000"
"980","RUS","Russian Federation","32","28","29","89","Russian Federation","sydney-2000"
"981","CHN","People's Republic of China","28","16","14","58","People's Republic of China","sydney-2000"
"982","AUS","Australia","16","25","17","58","Australia","sydney-2000"
"983","GER","Germany","13","17","26","56","Germany","sydney-2000"
"984","FRA","France","13","14","11","38","France","sydney-2000"
"985","ITA","Italy","13","8","13","34","Italy","sydney-2000"
"986","NED","Netherlands","12","9","4","25","Netherlands","sydney-2000"
"987","CUB","Cuba","11","11","7","29","Cuba","sydney-2000"
"988","GBR","Great Britain","11","10","7","28","Great Britain","sydney-2000"
"989","ROU","Romania","11","6","9","26","Romania","sydney-2000"
"990","KOR","Republic of Korea","8","10","10","28","Republic of Korea","sydney-2000"
"991","HUN","Hungary","8","6","3","17","Hungary","sydney-2000"
"992","POL","Poland","6","5","3","14","Poland","sydney-2000"
"993","JPN","Japan","5","8","5","18","Japan","sydney-2000"
"994","BUL","Bulgaria","5","6","2","13","Bulgaria","sydney-2000"
"995","GRE","Greece","4","6","3","13","Greece","sydney-2000"
"996","SWE","Sweden","4","5","3","12","Sweden","sydney-2000"
"997","NOR","Norway","4","3","3","10","Norway","sydney-2000"
"998","ETH","Ethiopia","4","1","3","8","Ethiopia","sydney-2000"
"999","UKR","Ukraine","3","10","10","23","Ukraine","sydney-2000"
"1000","KAZ","Kazakhstan","3","4","-","7","Kazakhstan","sydney-2000"
"1001","BLR","Belarus","3","3","11","17","Belarus","sydney-2000"
"1002","CAN","Canada","3","3","8","14","Canada","sydney-2000"
"1003","ESP","Spain","3","3","5","11","Spain","sydney-2000"
"1004","TUR","Turkey","3","-","2","5","Turkey","sydney-2000"
"1005","IRI","Islamic Republic of Iran","3","-","1","4","Islamic Republic of Iran","sydney-2000"
"1006","CZE","Czech Republic","2","3","3","8","Czech Republic","sydney-2000"
"1007","KEN","Kenya","2","3","2","7","Kenya","sydney-2000"
"1008","DEN","Denmark","2","3","1","6","Denmark","sydney-2000"
"1009","FIN","Finland","2","1","1","4","Finland","sydney-2000"
"1010","AUT","Austria","2","1","-","3","Austria","sydney-2000"
"1011","LTU","Lithuania","2","-","3","5","Lithuania","sydney-2000"
"1012","AZE","Azerbaijan","2","-","1","3","Azerbaijan","sydney-2000"
"1013","BAH","Bahamas","2","-","1","3","Bahamas","sydney-2000"
"1014","SLO","Slovenia","2","-","-","2","Slovenia","sydney-2000"
"1015","SUI","Switzerland","1","6","2","9","Switzerland","sydney-2000"
"1016","INA","Indonesia","1","3","2","6","Indonesia","sydney-2000"
"1017","SVK","Slovakia","1","3","1","5","Slovakia","sydney-2000"
"1018","MEX","Mexico","1","2","3","6","Mexico","sydney-2000"
"1019","NGR","Nigeria","1","2","-","3","Nigeria","sydney-2000"
"1020","ALG","Algeria","1","1","3","5","Algeria","sydney-2000"
"1021","UZB","Uzbekistan","1","1","2","4","Uzbekistan","sydney-2000"
"1022","LAT","Latvia","1","1","1","3","Latvia","sydney-2000"
"1023","SCG","Serbia and Montenegro","1","1","1","3","Serbia and Montenegro","sydney-2000"
"1024","NZL","New Zealand","1","-","3","4","New Zealand","sydney-2000"
"1025","EST","Estonia","1","-","2","3","Estonia","sydney-2000"
"1026","THA","Thailand","1","-","2","3","Thailand","sydney-2000"
"1027","CRO","Croatia","1","-","1","2","Croatia","sydney-2000"
"1028","COL","Colombia","1","-","-","1","Colombia","sydney-2000"
"1029","CMR","Cameroon","1","-","-","1","Cameroon","sydney-2000"
"1030","MOZ","Mozambique","1","-","-","1","Mozambique","sydney-2000"
"1031","BRA","Brazil","-","6","6","12","Brazil","sydney-2000"
"1032","JAM","Jamaica","-","6","3","9","Jamaica","sydney-2000"
"1033","BEL","Belgium","-","2","3","5","Belgium","sydney-2000"
"1034","RSA","South Africa","-","2","3","5","South Africa","sydney-2000"
"1035","ARG","Argentina","-","2","2","4","Argentina","sydney-2000"
"1036","TPE","Chinese Taipei","-","1","4","5","Chinese Taipei","sydney-2000"
"1037","MAR","Morocco","-","1","4","5","Morocco","sydney-2000"
"1038","PRK","Democratic People's Republic of Korea","-","1","3","4","Democratic People's Republic of Korea","sydney-2000"
"1039","KSA","Saudi Arabia","-","1","1","2","Saudi Arabia","sydney-2000"
"1040","MDA","Republic of Moldova","-","1","1","2","Republic of Moldova","sydney-2000"
"1041","TTO","Trinidad and Tobago","-","1","1","2","Trinidad and Tobago","sydney-2000"
"1042","IRL","Ireland","-","1","-","1","Ireland","sydney-2000"
"1043","SRI","Sri Lanka","-","1","-","1","Sri Lanka","sydney-2000"
"1044","URU","Uruguay","-","1","-","1","Uruguay","sydney-2000"
"1045","VIE","Vietnam","-","1","-","1","Vietnam","sydney-2000"
"1046","GEO","Georgia","-","-","6","6","Georgia","sydney-2000"
"1047","POR","Portugal","-","-","2","2","Portugal","sydney-2000"
"1048","CRC","Costa Rica","-","-","2","2","Costa Rica","sydney-2000"
"1049","CHI","Chile","-","-","1","1","Chile","sydney-2000"
"1050","ISL","Iceland","-","-","1","1","Iceland","sydney-2000"
"1051","IND","India","-","-","1","1","India","sydney-2000"
"1052","ISR","Israel","-","-","1","1","Israel","sydney-2000"
"1053","KUW","Kuwait","-","-","1","1","Kuwait","sydney-2000"
"1054","ARM","Armenia","-","-","1","1","Armenia","sydney-2000"
"1055","BAR","Barbados","-","-","1","1","Barbados","sydney-2000"
"1056","KGZ","Kyrgyzstan","-","-","1","1","Kyrgyzstan","sydney-2000"
"1057","QAT","Qatar","-","-","1","1","Qatar","sydney-2000"
"1058","MKD","The Former Yugoslav Republic of Macedonia","-","-","1","1","The Former Yugoslav Republic of Macedonia","sydney-2000"
"1059","GER","Germany","12","9","8","29","Germany","nagano-1998"
"1060","NOR","Norway","10","10","5","25","Norway","nagano-1998"
"1061","RUS","Russian Federation","9","6","3","18","Russian Federation","nagano-1998"
"1062","CAN","Canada","6","5","4","15","Canada","nagano-1998"
"1063","USA","United States of America","6","3","4","13","United States of America","nagano-1998"
"1064","NED","Netherlands","5","4","2","11","Netherlands","nagano-1998"
"1065","JPN","Japan","5","1","4","10","Japan","nagano-1998"
"1066","AUT","Austria","3","5","9","17","Austria","nagano-1998"
"1067","KOR","Republic of Korea","3","1","2","6","Republic of Korea","nagano-1998"
"1068","ITA","Italy","2","6","2","10","Italy","nagano-1998"
"1069","FIN","Finland","2","4","6","12","Finland","nagano-1998"
"1070","SUI","Switzerland","2","2","3","7","Switzerland","nagano-1998"
"1071","FRA","France","2","1","5","8","France","nagano-1998"
"1072","CZE","Czech Republic","1","1","1","3","Czech Republic","nagano-1998"
"1073","BUL","Bulgaria","1","-","-","1","Bulgaria","nagano-1998"
"1074","CHN","People's Republic of China","-","6","2","8","People's Republic of China","nagano-1998"
"1075","SWE","Sweden","-","2","1","3","Sweden","nagano-1998"
"1076","DEN","Denmark","-","1","-","1","Denmark","nagano-1998"
"1077","UKR","Ukraine","-","1","-","1","Ukraine","nagano-1998"
"1078","KAZ","Kazakhstan","-","-","2","2","Kazakhstan","nagano-1998"
"1079","BLR","Belarus","-","-","2","2","Belarus","nagano-1998"
"1080","AUS","Australia","-","-","1","1","Australia","nagano-1998"
"1081","GBR","Great Britain","-","-","1","1","Great Britain","nagano-1998"
"1082","BEL","Belgium","-","-","1","1","Belgium","nagano-1998"
"1083","GER","Germany","12","9","8","29","Germany","nagano-1998"
"1084","NOR","Norway","10","10","5","25","Norway","nagano-1998"
"1085","RUS","Russian Federation","9","6","3","18","Russian Federation","nagano-1998"
"1086","CAN","Canada","6","5","4","15","Canada","nagano-1998"
"1087","USA","United States of America","6","3","4","13","United States of America","nagano-1998"
"1088","NED","Netherlands","5","4","2","11","Netherlands","nagano-1998"
"1089","JPN","Japan","5","1","4","10","Japan","nagano-1998"
"1090","AUT","Austria","3","5","9","17","Austria","nagano-1998"
"1091","KOR","Republic of Korea","3","1","2","6","Republic of Korea","nagano-1998"
"1092","ITA","Italy","2","6","2","10","Italy","nagano-1998"
"1093","FIN","Finland","2","4","6","12","Finland","nagano-1998"
"1094","SUI","Switzerland","2","2","3","7","Switzerland","nagano-1998"
"1095","FRA","France","2","1","5","8","France","nagano-1998"
"1096","CZE","Czech Republic","1","1","1","3","Czech Republic","nagano-1998"
"1097","BUL","Bulgaria","1","-","-","1","Bulgaria","nagano-1998"
"1098","CHN","People's Republic of China","-","6","2","8","People's Republic of China","nagano-1998"
"1099","SWE","Sweden","-","2","1","3","Sweden","nagano-1998"
"1100","DEN","Denmark","-","1","-","1","Denmark","nagano-1998"
"1101","UKR","Ukraine","-","1","-","1","Ukraine","nagano-1998"
"1102","KAZ","Kazakhstan","-","-","2","2","Kazakhstan","nagano-1998"
"1103","BLR","Belarus","-","-","2","2","Belarus","nagano-1998"
"1104","AUS","Australia","-","-","1","1","Australia","nagano-1998"
"1105","GBR","Great Britain","-","-","1","1","Great Britain","nagano-1998"
"1106","BEL","Belgium","-","-","1","1","Belgium","nagano-1998"
"1107","USA","United States of America","44","32","25","101","United States of America","atlanta-1996"
"1108","RUS","Russian Federation","26","21","16","63","Russian Federation","atlanta-1996"
"1109","GER","Germany","20","18","27","65","Germany","atlanta-1996"
"1110","CHN","People's Republic of China","16","22","12","50","People's Republic of China","atlanta-1996"
"1111","FRA","France","15","7","15","37","France","atlanta-1996"
"1112","ITA","Italy","13","10","12","35","Italy","atlanta-1996"
"1113","AUS","Australia","9","9","23","41","Australia","atlanta-1996"
"1114","CUB","Cuba","9","8","8","25","Cuba","atlanta-1996"
"1115","UKR","Ukraine","9","2","12","23","Ukraine","atlanta-1996"
"1116","KOR","Republic of Korea","7","15","5","27","Republic of Korea","atlanta-1996"
"1117","POL","Poland","7","5","5","17","Poland","atlanta-1996"
"1118","HUN","Hungary","7","4","10","21","Hungary","atlanta-1996"
"1119","ESP","Spain","5","6","6","17","Spain","atlanta-1996"
"1120","ROU","Romania","4","7","9","20","Romania","atlanta-1996"
"1121","NED","Netherlands","4","5","10","19","Netherlands","atlanta-1996"
"1122","GRE","Greece","4","4","-","8","Greece","atlanta-1996"
